,unixtimestamp,close_time,datetime,close_datetime,open,close,low,high,volume
238,1738271700000,1738272599999,2025-01-30 21:15:00,2025-01-30 21:29:59.999,104966.28,105006.73,104963.11,105200.0,84.01036
239,1738272600000,1738273499999,2025-01-30 21:30:00,2025-01-30 21:44:59.999,105006.73,105142.01,104929.86,105217.17,133.57763
240,1738273500000,1738274399999,2025-01-30 21:45:00,2025-01-30 21:59:59.999,105141.53,105048.89,104999.3,105159.84,73.30181
241,1738274400000,1738275299999,2025-01-30 22:00:00,2025-01-30 22:14:59.999,105048.89,105091.28,104962.11,105106.38,79.90795
242,1738275300000,1738276199999,2025-01-30 22:15:00,2025-01-30 22:29:59.999,105091.27,105087.17,105079.69,105126.28,51.23436
243,1738276200000,1738277099999,2025-01-30 22:30:00,2025-01-30 22:44:59.999,105087.17,105320.01,105087.16,105351.29,76.08088
244,1738277100000,1738277999999,2025-01-30 22:45:00,2025-01-30 22:59:59.999,105320.0,105094.56,105079.2,105320.01,72.30248
245,1738278000000,1738278899999,2025-01-30 23:00:00,2025-01-30 23:14:59.999,105094.57,105070.91,105049.94,105240.0,89.28378
246,1738278900000,1738279799999,2025-01-30 23:15:00,2025-01-30 23:29:59.999,105070.91,105202.44,105070.9,105254.0,45.95179
247,1738279800000,1738280699999,2025-01-30 23:30:00,2025-01-30 23:44:59.999,105202.44,104980.0,104980.0,105202.45,98.41898
248,1738280700000,1738281599999,2025-01-30 23:45:00,2025-01-30 23:59:59.999,104980.01,104722.94,104693.82,104980.01,161.84507
249,1738281600000,1738282499999,2025-01-31 00:00:00,2025-01-31 00:14:59.999,104722.94,104564.92,104535.0,104850.0,181.55202
250,1738282500000,1738283399999,2025-01-31 00:15:00,2025-01-31 00:29:59.999,104564.93,104763.56,104400.0,104828.0,244.44116
251,1738283400000,1738284299999,2025-01-31 00:30:00,2025-01-31 00:44:59.999,104763.56,104856.29,104679.41,104901.97,142.16702
252,1738284300000,1738285199999,2025-01-31 00:45:00,2025-01-31 00:59:59.999,104856.29,104898.49,104830.57,105029.72,83.85886
253,1738285200000,1738286099999,2025-01-31 01:00:00,2025-01-31 01:14:59.999,104898.48,104759.6,104704.92,104908.15,87.80971
254,1738286100000,1738286999999,2025-01-31 01:15:00,2025-01-31 01:29:59.999,104759.6,104499.17,104420.97,104770.99,107.81027
255,1738287000000,1738287899999,2025-01-31 01:30:00,2025-01-31 01:44:59.999,104499.17,104660.71,104499.16,104691.81,89.85624
256,1738287900000,1738288799999,2025-01-31 01:45:00,2025-01-31 01:59:59.999,104660.71,104729.58,104541.01,104767.67,108.2744
257,1738288800000,1738289699999,2025-01-31 02:00:00,2025-01-31 02:14:59.999,104729.95,104709.71,104702.6,104851.99,154.32587
258,1738289700000,1738290599999,2025-01-31 02:15:00,2025-01-31 02:29:59.999,104709.7,104368.72,104331.0,104723.43,129.99271
259,1738290600000,1738291499999,2025-01-31 02:30:00,2025-01-31 02:44:59.999,104368.49,104417.0,104255.01,104485.0,183.35601
260,1738291500000,1738292399999,2025-01-31 02:45:00,2025-01-31 02:59:59.999,104417.0,104341.72,104334.82,104484.99,116.11534
261,1738292400000,1738293299999,2025-01-31 03:00:00,2025-01-31 03:14:59.999,104341.73,104218.92,103998.3,104341.73,332.74961
262,1738293300000,1738294199999,2025-01-31 03:15:00,2025-01-31 03:29:59.999,104218.91,104106.01,103930.09,104218.92,264.40107
263,1738294200000,1738295099999,2025-01-31 03:30:00,2025-01-31 03:44:59.999,104106.0,104184.7,104000.0,104235.14,177.71865
264,1738295100000,1738295999999,2025-01-31 03:45:00,2025-01-31 03:59:59.999,104184.7,104344.46,104184.7,104377.76,106.11893
265,1738296000000,1738296899999,2025-01-31 04:00:00,2025-01-31 04:14:59.999,104344.46,104319.2,104283.03,104360.41,55.04481
266,1738296900000,1738297799999,2025-01-31 04:15:00,2025-01-31 04:29:59.999,104319.21,104500.36,104177.16,104547.24,81.58522
267,1738297800000,1738298699999,2025-01-31 04:30:00,2025-01-31 04:44:59.999,104500.35,104244.0,104205.59,104520.39,93.9759
268,1738298700000,1738299599999,2025-01-31 04:45:00,2025-01-31 04:59:59.999,104244.01,104007.58,103972.13,104244.01,164.44537
269,1738299600000,1738300499999,2025-01-31 05:00:00,2025-01-31 05:14:59.999,104007.59,104380.01,104007.59,104467.06,117.79087
270,1738300500000,1738301399999,2025-01-31 05:15:00,2025-01-31 05:29:59.999,104380.01,104418.86,104380.0,104484.09,61.51159
271,1738301400000,1738302299999,2025-01-31 05:30:00,2025-01-31 05:44:59.999,104418.87,104340.33,104323.91,104441.8,45.69661
272,1738302300000,1738303199999,2025-01-31 05:45:00,2025-01-31 05:59:59.999,104340.34,104319.87,104258.29,104364.37,134.47672
273,1738303200000,1738304099999,2025-01-31 06:00:00,2025-01-31 06:14:59.999,104319.87,104431.38,104298.73,104500.0,94.87598
274,1738304100000,1738304999999,2025-01-31 06:15:00,2025-01-31 06:29:59.999,104431.38,104539.84,104431.37,104557.34,50.19916
275,1738305000000,1738305899999,2025-01-31 06:30:00,2025-01-31 06:44:59.999,104539.83,104605.44,104521.08,104631.95,77.19308
276,1738305900000,1738306799999,2025-01-31 06:45:00,2025-01-31 06:59:59.999,104605.44,104511.02,104509.8,104745.1,105.58495
277,1738306800000,1738307699999,2025-01-31 07:00:00,2025-01-31 07:14:59.999,104511.03,104627.46,104470.58,104638.3,80.70927
278,1738307700000,1738308599999,2025-01-31 07:15:00,2025-01-31 07:29:59.999,104627.45,104676.71,104627.45,104814.46,84.08064
279,1738308600000,1738309499999,2025-01-31 07:30:00,2025-01-31 07:44:59.999,104676.71,104291.07,104263.47,104676.72,239.82635
280,1738309500000,1738310399999,2025-01-31 07:45:00,2025-01-31 07:59:59.999,104291.06,104188.56,104002.01,104291.06,381.94215
281,1738310400000,1738311299999,2025-01-31 08:00:00,2025-01-31 08:14:59.999,104188.57,104116.04,104116.03,104321.98,137.74568
